Year,Type,Country,Activity,Sex,Fatal,Sharks,Month
2018,BOAT,USA,Paddling,Female,NO,White shark,jun
2018,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,jun
2018,PROVOKED,MEXICO,Free diving,Male,NO,Other sharks,jun
2018,UNPROVOKED,BRAZIL,Swimming,Male,YES,Other sharks,jun
2018,UNPROVOKED,USA,Fishing,Male,NO,Other sharks,may
2018,UNPROVOKED,USA,Walking,Male,NO,Other sharks,may
2018,PROVOKED,AUSTRALIA,Feeding sharks,Male,NO,Other sharks,may
2018,INVALID,ENGLAND,Fishing,Male,NO,Other sharks,may
2018,DKNOW,AUSTRALIA,Surfing,Male,NO,Other sharks,may
2018,UNPROVOKED,COSTA RICA,Scuba diving,Male,NO,Other sharks,apr
2018,DKNOW,AUSTRALIA,Surfing,Male,NO,Other sharks,apr
2018,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,apr
2018,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,apr
2018,UNPROVOKED,MALDIVES,Fishing,Male,NO,Other sharks,apr
2018,UNPROVOKED,SOUTH AFRICA,Paddle-skiing,Male,NO,White shark,apr
2018,UNPROVOKED,USA,Body boarding,Male,NO,Other sharks,apr
2018,UNPROVOKED,THAILAND,Swimming,Male,NO,Other sharks,apr
2018,UNPROVOKED,BAHAMAS,Surfing,Male,NO,Other sharks,apr
2018,INVALID,BRAZIL,Fishing,Male,NO,Other sharks,apr
2018,UNPROVOKED,BAHAMAS,Swimming,Male,NO,Other sharks,apr
2018,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,apr
2018,UNPROVOKED,USA,Stand-Up Paddleboarding,Male,NO,Other sharks,mar
2018,UNPROVOKED,AUSTRALIA,Wading,Male,NO,Other sharks,mar
2018,UNPROVOKED,AUSTRALIA,Swimming,Male,NO,Other sharks,mar
2018,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,mar
2018,UNPROVOKED,SOUTH AFRICA,Scuba Diving,Male,NO,Other sharks,feb
2018,UNPROVOKED,AUSTRALIA,Swimming,Female,NO,White shark,feb
2018,UNPROVOKED,AUSTRALIA,Walking,Male,NO,Other sharks,feb
2018,INVALID,AUSTRALIA,Swimming,Female,NO,Other sharks,feb
2018,INVALID,BRAZIL,Cleaning fish,Female,NO,Other sharks,feb
2018,UNPROVOKED,ECUADOR,Snorkeling,Male,NO,Other sharks,feb
2018,INVALID,AUSTRALIA,Spearfishing,Male,NO,Other sharks,feb
2018,UNPROVOKED,NEW CALEDONIA,Spearfishing,Male,NO,Other sharks,jan
2018,UNPROVOKED,AUSTRALIA,Diving,Male,NO,Other sharks,jan
2018,UNPROVOKED,AUSTRALIA,Free diving,Male,NO,White shark,jan
2018,UNPROVOKED,BRAZIL,Surfing,Male,NO,Other sharks,jan
2018,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,jan
2017,UNPROVOKED,USA,Surfing,Female,NO,Other sharks,dec
2017,PROVOKED,MALAYSIA,Fishing / Wading,Male,NO,Other sharks,dec
2017,UNPROVOKED,BAHAMAS,Snorkeling,Female,NO,Other sharks,dec
2017,UNPROVOKED,COSTA RICA,Scuba Diving,Male,NO,Other sharks,nov
2017,UNPROVOKED,COSTA RICA,Scuba diving,Female,YES,Other sharks,nov
2017,UNPROVOKED,USA,Spearfishing,Male,NO,White shark,nov
2017,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,nov
2017,UNPROVOKED,CUBA,Night bathing,Male,YES,Other sharks,nov
2017,UNPROVOKED,AUSTRALIA,Snorkeling,Male,NO,Other sharks,oct
2017,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,oct
2017,UNPROVOKED,AUSTRALIA,Kayaking / Fishing,Female,NO,White shark,oct
2017,UNPROVOKED,NEW ZEALAND,Kayaking,Male,NO,Other sharks,oct
2017,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,oct
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2017,UNPROVOKED,USA,Snorkeling,Female,NO,Other sharks,oct
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2017,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,sep
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2017,UNPROVOKED,SPAIN,Body surfing,Male,NO,Other sharks,sep
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2017,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,sep
2017,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,sep
2017,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,aug
2017,UNPROVOKED,USA,SUP,Male,NO,White shark,aug
2017,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,aug
2017,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,aug
2017,UNPROVOKED,EGYPT,Snorkeling,Female,NO,White shark,aug
2017,PROVOKED,USA,Fishing,Male,NO,Other sharks,aug
2017,BOAT,USA,Kayaking / Fishing,Male,NO,White shark,aug
2017,UNPROVOKED,SPAIN,Swimming,Female,NO,Other sharks,jul
2017,BOAT,USA,Kayaking,Male,NO,White shark,jul
2017,UNPROVOKED,USA,SUP,Male,NO,White shark,jul
2017,UNPROVOKED,USA,Surfing,Male,NO,White shark,jul
2017,BOAT,USA,Kayaking,Male,NO,White shark,jul
2017,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jul
2017,PROVOKED,MEXICO,Fishing,Male,NO,Other sharks,jul
2017,UNPROVOKED,SOUTH AFRICA,Surfing,Female,NO,White shark,jul
2017,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,jun
2017,UNPROVOKED,REUNION,Body boarding,Male,NO,Other sharks,jun
2017,UNPROVOKED,AUSTRALIA,Body boarding,Male,NO,White shark,jun
2017,UNPROVOKED,AUSTRALIA,Surfing,Female,NO,Other sharks,jun
2017,UNPROVOKED,UNITED KINGDOM,Surfing ,Male,NO,Other sharks,jun
2017,UNPROVOKED,USA,Spearfishing,Male,NO,Other sharks,jun
2017,UNPROVOKED,BAHAMAS,Snorkeling,Female,NO,Other sharks,jun
2017,PROVOKED,USA,Touching a shark,Female,NO,Other sharks,may
2017,UNPROVOKED,USA,Feeding sharks,Male,NO,Other sharks,may
2017,PROVOKED,AUSTRALIA,Attempting to lasso a shark,Male,NO,Other sharks,may
2017,UNPROVOKED,AUSTRALIA,Surfing,Female,YES,White shark,apr
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,apr
2017,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,apr
2017,BOAT,USA,Kayaking,Male,NO,White shark,mar
2017,UNPROVOKED,PHILIPPINES,Spearfishing,Male,NO,Other sharks,mar
2017,UNPROVOKED,BAHAMAS,Washing hands,Male,NO,Other sharks,mar
2017,UNPROVOKED,AUSTRALIA,Snorkeling,Female,NO,Other sharks,feb
2017,PROVOKED,BRAZIL,Grabbing shark for a selfie,Female,NO,Other sharks,feb
2017,BOAT,SOUTH AFRICA,Kayak fishing,Male,NO,Other sharks,feb
2017,UNPROVOKED,BAHAMAS,Scuba Diving,Male,NO,Other sharks,feb
2017,UNPROVOKED,AUSTRALIA,Scuba Diving,Male,NO,Other sharks,jan
2017,UNPROVOKED,INDONESIA,Surfing,Male,NO,Other sharks,jan
2016,UNPROVOKED,AUSTRALIA,Snorkeling,Female,NO,Other sharks,dec
2016,UNPROVOKED,SOUTH AFRICA,Surf skiing ,Male,NO,White shark,dec
2016,PROVOKED,AUSTRALIA,Surf fishing,Male,NO,Other sharks,dec
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,dec
2016,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,nov
2016,UNPROVOKED,USA,Floating,Female,NO,Other sharks,nov
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,sep
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,sep
2016,UNPROVOKED,USA,Wading,Male,NO,Other sharks,sep
2016,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,sep
2016,UNPROVOKED,USA,Spearfishing,Male,NO,White shark,sep
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2016,UNPROVOKED,REUNION,Surfing,Male,NO,Other sharks,aug
